Profit and Loss (USD),,,,
Day,Sales,Trading Profit,Operating Expense,Net Profit
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,280440,-280440
3,0,0,442560,-442560
4,26858,10673,492680,-482007
5,177490,74711,597827,-523116
6,358018,153784,642974,-489190
7,540063,233990,728237,-494247
8,848243,436955,772763,-335808
9,1013601,505799,819384,-313585
10,1401138,660800,866151,-205351
11,1895760,924288,913350,10938
12,2339783,1098602,985634,112968
13,2875669,1469729,1043552,426177
14,3143558,1568400,1139771,428629
15,3226276,1593793,1203549,390244
16,4027599,1668879,1249498,419381
17,4136040,1719399,1296608,422791
18,4292260,1782814,1343772,439042
19,5933711,2212554,1389315,823239
20,6074208,2279035,1464948,814087
21,6219743,2340419,1562908,777511
22,6927475,2532536,1698550,833986
23,7102479,2601013,1830120,770893
24,7247148,2670982,1902755,768227
25,7698523,3049309,1975321,1073988
26,8723329,3432279,2109250,1323029
27,8866096,3499458,2179678,1319780
28,9009249,3567744,2314951,1252793
29,9224298,3652108,2415212,1236896
30,9400178,3735675,2501361,1234314
31,9589808,3822742,2595989,1226753
32,10285356,4082223,2692890,1389333
33,11248875,4437501,2790916,1646585
34,11419355,4516805,2889292,1627513
35,11925783,4934450,3048639,1885811
36,12100442,5019940,3130101,1889839
37,13618282,5557363,3257545,2299818
38,14206319,5867777,3344044,2523733
39,16551364,6730817,3443702,3287115
40,16644749,6781335,3576164,3205171
41,16803456,6844019,3669936,3174083
42,18586927,7019230,3787062,3232168
43,18716173,7087108,3851375,3235733
44,19672851,7428604,3956661,3471943
45,20738980,7657776,4060082,3597694
46,20916068,7751973,4163405,3588568
47,22560542,8240699,4304784,3935915
48,23272582,8294482,4432663,3861819
49,26196202,8985744,4601060,4384684
50,26355363,9073300,4734901,4338399
51,26501104,9155978,4854396,4301582
52,27767384,9560242,4974263,4585979
53,27898512,9649511,5094333,4555178
54,28571428,10095925,5228090,4867835
55,29520710,10596836,5363400,5233436
56,29786628,10788330,5493710,5294620
57,30024352,10959889,5598077,5361812
58,30246395,11121448,5711950,5409498
59,30430446,11233100,5811003,5422097
60,30850925,11389403,5909815,5479588
61,31240882,11610500,6024309,5586191
62,31663375,11831505,6132172,5699333
63,32118772,11952216,6254284,5697932
64,32264625,12060673,6359747,5700926
65,32795354,12470576,6435715,6034861
66,33196532,12647640,6481683,6165957
67,33919607,13166844,6569711,6597133
68,34051996,13265647,6722225,6543422
69,34187789,13367365,6803274,6564091
70,34324944,13469401,6914508,6554893
71,34459358,13562978,6996291,6566687
72,34886717,13550318,7080460,6469858
73,36127899,13690806,7182236,6508570
74,36821685,14147609,7265034,6882575
75,37169997,14442367,7362916,7079451
76,37291751,14518255,7445798,7072457
77,38056986,14782565,7599743,7182822
78,39177828,15365814,7716219,7649595
79,40624338,15988310,7800695,8187615
80,41441255,16519220,7885217,8634003
81,42028414,16900146,7968490,8931656
82,42325200,17081613,8042646,9038967
83,42430427,17146190,8086999,9059191
84,43322611,17290852,8161375,9129477
85,43439331,17361165,8208807,9152358
86,45823763,17766705,8329936,9436769
87,45940063,17835945,8380451,9455494
88,46223333,18072006,8426841,9645165
89,46655193,18175766,8507982,9697784
90,46778432,18239279,8704093,9565186
