[HIGHEST OVERHEAD] Salary Expense: 27.55%
[CASH DEFICIT] DAY: 1, AMOUNT: USD12600
[CASH DEFICIT] DAY: 2, AMOUNT: USD267840
[CASH DEFICIT] DAY: 3, AMOUNT: USD752120
[CASH DEFICIT] DAY: 4, AMOUNT: USD429422
[CASH DEFICIT] DAY: 5, AMOUNT: USD1417615
[CASH DEFICIT] DAY: 6, AMOUNT: USD244719
[CASH DEFICIT] DAY: 8, AMOUNT: USD351346
[CASH DEFICIT] DAY: 12, AMOUNT: USD507711
[CASH DEFICIT] DAY: 14, AMOUNT: USD443330
[CASH DEFICIT] DAY: 16, AMOUNT: USD22316
[CASH DEFICIT] DAY: 17, AMOUNT: USD82552
[CASH DEFICIT] DAY: 18, AMOUNT: USD211917
[CASH DEFICIT] DAY: 22, AMOUNT: USD337910
[CASH DEFICIT] DAY: 24, AMOUNT: USD66002
[CASH DEFICIT] DAY: 27, AMOUNT: USD177961
[CASH DEFICIT] DAY: 30, AMOUNT: USD520269
[CASH DEFICIT] DAY: 32, AMOUNT: USD11353
[CASH DEFICIT] DAY: 38, AMOUNT: USD875454
[CASH DEFICIT] DAY: 40, AMOUNT: USD24077
[CASH DEFICIT] DAY: 41, AMOUNT: USD611932
[CASH DEFICIT] DAY: 50, AMOUNT: USD237120
[CASH DEFICIT] DAY: 51, AMOUNT: USD18815
[CASH DEFICIT] DAY: 53, AMOUNT: USD1390302
[CASH DEFICIT] DAY: 68, AMOUNT: USD198725
[CASH DEFICIT] DAY: 71, AMOUNT: USD1869869
[CASH DEFICIT] DAY: 72, AMOUNT: USD162110
[CASH DEFICIT] DAY: 75, AMOUNT: USD1425744
[CASH DEFICIT] DAY: 76, AMOUNT: USD228128
[CASH DEFICIT] DAY: 82, AMOUNT: USD200130
[CASH DEFICIT] DAY: 83, AMOUNT: USD491225
[CASH DEFICIT] DAY: 85, AMOUNT: USD291384
[CASH DEFICIT] DAY: 90, AMOUNT: USD72872
[PROFIT DEFICIT] DAY: 1, AMOUNT: USD12600
[PROFIT DEFICIT] DAY: 2, AMOUNT: USD267840
[PROFIT DEFICIT] DAY: 3, AMOUNT: USD162120
[PROFIT DEFICIT] DAY: 4, AMOUNT: USD39447
[PROFIT DEFICIT] DAY: 5, AMOUNT: USD41109
[PROFIT DEFICIT] DAY: 7, AMOUNT: USD5057
[PROFIT DEFICIT] DAY: 15, AMOUNT: USD38385
[PROFIT DEFICIT] DAY: 20, AMOUNT: USD9152
[PROFIT DEFICIT] DAY: 21, AMOUNT: USD36576
[PROFIT DEFICIT] DAY: 23, AMOUNT: USD63093
[PROFIT DEFICIT] DAY: 24, AMOUNT: USD2666
[PROFIT DEFICIT] DAY: 27, AMOUNT: USD3249
[PROFIT DEFICIT] DAY: 28, AMOUNT: USD66987
[PROFIT DEFICIT] DAY: 29, AMOUNT: USD15897
[PROFIT DEFICIT] DAY: 30, AMOUNT: USD2582
[PROFIT DEFICIT] DAY: 31, AMOUNT: USD7561
[PROFIT DEFICIT] DAY: 34, AMOUNT: USD19072
[PROFIT DEFICIT] DAY: 40, AMOUNT: USD81944
[PROFIT DEFICIT] DAY: 41, AMOUNT: USD31088
[PROFIT DEFICIT] DAY: 46, AMOUNT: USD9126
[PROFIT DEFICIT] DAY: 48, AMOUNT: USD74096
[PROFIT DEFICIT] DAY: 50, AMOUNT: USD46285
[PROFIT DEFICIT] DAY: 51, AMOUNT: USD36817
[PROFIT DEFICIT] DAY: 53, AMOUNT: USD30801
[PROFIT DEFICIT] DAY: 63, AMOUNT: USD1401
[PROFIT DEFICIT] DAY: 68, AMOUNT: USD53711
[PROFIT DEFICIT] DAY: 70, AMOUNT: USD9198
[PROFIT DEFICIT] DAY: 72, AMOUNT: USD96829
[PROFIT DEFICIT] DAY: 76, AMOUNT: USD6994
[PROFIT DEFICIT] DAY: 90, AMOUNT: USD132598
